,1,2,3,4
1963-07-31,0.03325357552223681,0.0,0.2014545836238968,-0.15318355358769925
1963-08-31,0.04890261627553675,0.04973865345447587,-0.06186533004513475,-0.012725312714229144
1963-09-30,0.26453322880579944,0.2563358806691889,0.0008743885820766183,-0.0011768292409043805
1963-10-31,0.058375028693955736,-0.00047393308057255834,-0.09063719358598003,-0.14516291734295425
1963-11-30,0.09252803647545668,-0.962350674609327,0.0,0.6474531288772418
1963-12-31,-0.15540208945503423,0.024231403463160082,0.16848901080507508,-0.009970818956281022
1964-01-31,0.051484494504622086,0.09277294639369937,-0.01440164225624263,0.0
1964-02-29,0.0,0.07079528371054472,-0.4867422829679947,-0.2121637971411244
1964-03-31,0.0,-0.13650042854009364,0.09865192449738425,0.6055009307557027
1964-04-30,0.005325326966124784,-0.08664677424075633,-0.43589586276795644,0.3218657353978902
1964-05-31,0.017664967685380843,0.0,-0.07133375145140786,-0.09127130141663899
1964-06-30,-0.0958608297323216,0.020146542100980647,0.03515583352313796,0.004096279641003985
1964-07-31,0.14972738844290662,-0.12324244292801473,0.017057122214125878,-0.014658960662325873
1964-08-31,-0.062296996970826315,0.06597548239980017,-0.1943865513116235,0.05163556683494813
1964-09-30,-0.023768210776267833,0.0,-0.3210388517721101,-0.007102895528203265
1964-10-31,-0.12924702967101628,0.0,-0.422273005823424,0.0
1964-11-30,-0.46745571887966436,0.06184068047953828,-0.09728292293313687,0.2538183399650835
1964-12-31,-0.1571647387600511,0.16884925431638778,0.037197428705948034,-0.14338145557096876
1965-01-31,0.06959127977397336,-0.3880161000640911,-0.02443010875506325,0.023677267851188517
1965-02-28,0.0,-1.0125497937962413,0.36233360956423594,0.03722007938556764
1965-03-31,0.010605790048245271,0.4004759786669819,0.16784543030953428,0.0
1965-04-30,0.11732426773687984,0.10648107268651201,-0.06835480075669112,0.2354961182817953
1965-05-31,-0.08708521486681002,0.0,-0.11822101286742497,0.2242316361810105
1965-06-30,-0.9849049077155495,0.03727504163826665,0.007634254705373397,0.36597425094529146
1965-07-31,0.0,0.0,-0.3174020632280593,-0.4082339101726639
1965-08-31,0.060970089590788715,0.6233257528162532,0.0,-0.010187089928284942
1965-09-30,-0.3538909189834889,-0.05313745371559011,0.0,-0.05358648897500957
1965-10-31,0.06918344029984438,-0.21052086596688563,0.03221137701576943,-0.0523009895761128
1965-11-30,-0.004571103959108064,0.42933344497469006,-0.0284962996386257,1.2075263742056102
1965-12-31,-0.3167850518977037,-0.17424106724939048,0.18234737542891608,0.05937317287478083
1966-01-31,0.03869972101105748,-0.2395647202715303,-0.18886041222411565,-0.05330784309699794
1966-02-28,-0.6779781198630624,1.4715371714290086,0.034321753462056265,0.0
1966-03-31,0.017155235717079054,-0.7754516939834363,0.0017599965183637905,0.5909679411618178
1966-04-30,-0.1364708960190188,0.0,-0.19687115007990463,-0.05928009934771415
1966-05-31,-0.017904982840297325,0.14725435110574556,0.0,0.16667311448831662
1966-06-30,-0.33076707309982334,-0.18976543495016068,-0.060218436347988985,-0.004510532109809704
1966-07-31,-0.023286409358430984,0.13716400715551172,0.0687593498883778,-0.03511584419614004
1966-08-31,-0.012489482687458118,-0.17803185118123474,0.0,0.3742307581307336
1966-09-30,0.625069229144586,0.2429195104155106,0.0,0.8159065671470073
1966-10-31,0.0,-0.007181134029044245,0.1364320532400372,1.1494637235171985
1966-11-30,-0.5055161161116642,0.09404142405217425,0.53259612628099,-0.26198666529932746
1966-12-31,0.04226222897435007,0.10765811922603502,0.3603419019249203,0.536296653838428
1967-01-31,0.0,-0.04165203209572563,1.0153584094056287,-0.10524775150825416
1967-02-28,0.6075877301262046,-0.5600343410538468,0.03953934406193526,0.023722584371549976
1967-03-31,0.3867038124750597,0.03716842923078027,0.0649759240396566,-0.2368533930439941
1967-04-30,-1.6493276600126967,-0.33702488288345206,-0.005320813754641019,0.0
1967-05-31,-0.04425489241340425,0.0,0.0,0.3688259852160283
1967-06-30,0.19107047659193263,-0.04774736101580847,-2.716884680694158,0.03774077310760774
1967-07-31,0.46127480744671356,-0.15300052660753927,0.0,0.021978818655980933
1967-08-31,-0.02509845208042312,0.02768773834523962,-0.0937940789182913,-0.08285869477874903
1967-09-30,0.0,0.07414677619647361,-0.7472467212084728,0.2014765893241499
1967-10-31,0.0466710073490366,0.0,0.13306704465861965,0.590611684604796
1967-11-30,0.0,0.0,0.07162056550017694,1.1716081007535897
1967-12-31,-0.23842665623376808,0.3546722111721717,0.0,-0.41730758561973147
1968-01-31,0.31263844588829415,-0.01537710230732298,1.7969717705301032,-1.9619919294341592
1968-02-29,0.36386655193094986,0.0,0.0,-1.3793601558455284
1968-03-31,0.5244468162933985,0.0,-0.7284619315714266,0.1257458458555478
1968-04-30,-0.049848281321903276,0.6741585661745833,1.8925518663201517,-0.18043624201428513
1968-05-31,0.0,0.04708817666370866,0.264681264600889,0.3274450016007711
1968-06-30,0.2312112307118908,0.6731032016254244,0.0,0.9939507590239929
1968-07-31,0.9395555009939786,1.8586306721421237,-0.2497770371866231,0.06718231926453994
1968-08-31,-0.2168416760448255,-0.26193290774355626,-0.4687866800490232,0.001019067195845668
1968-09-30,-0.3981988236312332,-0.04170556766289792,0.2506552568791873,0.10498875369601045
1968-10-31,0.1489202995134384,0.20704325739994006,0.15866383912332133,-0.07190035353736188
1968-11-30,0.2404783541542302,0.10764581758245306,-0.01309174242792229,-0.0891290386364057
1968-12-31,-0.04831533420410184,-0.01988621212616412,-0.1367744932161678,-0.6905197699102018
