,0
1963-07-31,0.3021558631893219
1963-08-31,0.3486379009974502
1963-09-30,0.6723846172464855
1963-10-31,0.6876878415533647
1963-11-30,0.38905159208067847
1963-12-31,0.25566272799688633
1964-01-31,0.3109668079249134
1964-02-29,0.31519132397281174
1964-03-31,0.4513240407773548
1964-04-30,0.5545028653806705
1964-05-31,0.45429720779612565
1964-06-30,0.4281904166535429
1964-07-31,0.8649642440816719
1964-08-31,0.48115287381001387
1964-09-30,0.4347447719209969
1964-10-31,0.39980700463208835
1964-11-30,0.6385467741496008
1964-12-31,0.4914767306895673
1965-01-31,0.4686695627735305
1965-02-28,0.9565179649850581
1965-03-31,0.747103069754421
1965-04-30,0.49456231950575347
1965-05-31,0.7573310712388761
1965-06-30,2.0694393203250807
1965-07-31,0.08257478847155866
1965-08-31,0.5257869973320156
1965-09-30,0.47910130310915017
1965-10-31,0.7575207794687143
1965-11-30,0.7774750121584563
1965-12-31,1.0092588895956078
1966-01-31,0.5555148525411812
1966-02-28,0.6630541057239947
1966-03-31,0.7450592446701727
1966-04-30,0.531242654307543
1966-05-31,0.6357415677414553
1966-06-30,1.4041568451013728
1966-07-31,0.49036808032636464
1966-08-31,0.7788484632741844
1966-09-30,0.9734203665095387
1966-10-31,0.8977446258534888
1966-11-30,0.6687176597702129
1966-12-31,1.319316873352055
1967-01-31,0.972987289993291
1967-02-28,0.26452773590206147
1967-03-31,1.4183750463725877
1967-04-30,0.47297113012055
1967-05-31,0.39633464081326275
1967-06-30,1.0395861426231956
1967-07-31,0.9896471104451786
1967-08-31,0.6081011924697366
1967-09-30,0.6182367211881528
1967-10-31,0.5490926398135177
1967-11-30,0.5478987421117094
1967-12-31,0.7278150567409339
1968-01-31,0.9799932457376599
1968-02-29,0.7784325258269253
1968-03-31,0.663571556121918
1968-04-30,1.3341404213462666
1968-05-31,0.7999285599004081
1968-06-30,1.215379249817557
1968-07-31,0.967643928250367
1968-08-31,0.6371500000983268
1968-09-30,1.2473091616114436
1968-10-31,0.3221029134358967
1968-11-30,0.4448457600423259
1968-12-31,0.5845946095518402
1969-01-31,0.7526099731622493
1969-02-28,0.39191577689011037
1969-03-31,0.6389167648970453
1969-04-30,0.5820671027282716
1969-05-31,0.5878386690580046
1969-06-30,0.4168729627136956
1969-07-31,0.38883361678877776
1969-08-31,1.0759085092944884
1969-09-30,0.7557460335505162
1969-10-31,0.5225036026212196
1969-11-30,0.8526973714486366
1969-12-31,0.9912528153645083
1970-01-31,1.041303243574525
1970-02-28,1.1399143162534386
1970-03-31,1.1690186133408602
1970-04-30,1.4009275330120383
1970-05-31,1.9994104827277206
1970-06-30,0.8399684767519555
1970-07-31,1.375747929490584
1970-08-31,0.7201474209638227
1970-09-30,1.2728214269119476
1970-10-31,1.7083295945128194
1970-11-30,0.6388397067500153
1970-12-31,0.6761140487904469
1971-01-31,0.7521112422370032
1971-02-28,0.874598048422949
1971-03-31,1.2657667915254613
1971-04-30,0.45935027954345287
1971-05-31,0.33618648706495335
1971-06-30,0.6229339893315282
1971-07-31,0.6019279566529339
1971-08-31,0.5948640590810226
1971-09-30,0.3139404767495948
1971-10-31,0.7134518513216681
1971-11-30,0.15514426896345224
1971-12-31,0.26119301203600037
1972-01-31,0.6386315223705268
1972-02-29,0.48024944701987043
1972-03-31,0.550152497797053
1972-04-30,0.1672539212972889
1972-05-31,0.5774923765365257
1972-06-30,0.4393990048747266
1972-07-31,0.7283753002806289
1972-08-31,0.5737410889208086
1972-09-30,0.5159298945444759
1972-10-31,0.55783145932732
1972-11-30,1.5200003511506692
1972-12-31,1.084939209109598
1973-01-31,0.5069740157993472
1973-02-28,0.6412793255206782
1973-03-31,0.5459603537370054
1973-04-30,0.6329396116355804
1973-05-31,0.8370265926386568
1973-06-30,0.586315612191316
1973-07-31,0.25082522895594844
1973-08-31,0.4227498364085616
1973-09-30,0.4763865190470743
1973-10-31,1.4553613718145626
1973-11-30,0.9260130838322185
1973-12-31,0.47776654248863987
1974-01-31,1.0943217281561584
1974-02-28,1.1239317845558576
1974-03-31,0.600610150775255
1974-04-30,0.9816681649271295
1974-05-31,0.9555148204280299
1974-06-30,0.4066893907342056
1974-07-31,0.5271737788076521
1974-08-31,1.491429612137835
1974-09-30,1.2316383247164733
1974-10-31,1.1604853185937114
1974-11-30,1.230971932720298
1974-12-31,0.6782844064119585
1975-01-31,1.4701893746653745
1975-02-28,0.5918626469771343
1975-03-31,0.846785929956804
1975-04-30,0.6068263884410483
1975-05-31,0.6419685728326858
1975-06-30,0.6200042925899124
1975-07-31,0.39380091110540444
1975-08-31,0.9316684453227639
1975-09-30,0.5065169416667059
1975-10-31,0.7709167973288048
1975-11-30,0.4081695994695701
1975-12-31,0.7752100633631896
1976-01-31,0.7665016259786441
1976-02-29,0.597411077721701
1976-03-31,0.3632044909290481
1976-04-30,0.5311980027315325
1976-05-31,0.6007477003007675
1976-06-30,0.43896976733158866
1976-07-31,0.4816801886157416
1976-08-31,0.5752242705674153
1976-09-30,0.9415543994989654
1976-10-31,0.577082537639097
1976-11-30,0.14118376895872564
1976-12-31,0.3144768641007367
1977-01-31,0.4519508967229375
1977-02-28,0.3588856165459727
1977-03-31,0.3071438709675237
1977-04-30,0.4971671978798037
1977-05-31,0.981362965001075
1977-06-30,0.3130306858660311
1977-07-31,0.36414494025529476
1977-08-31,0.572799401982212
1977-09-30,0.22621555390417566
1977-10-31,0.295183639156253
1977-11-30,0.2080080277498877
1977-12-31,0.35222105065730624
1978-01-31,0.6655035061104173
1978-02-28,0.3086321743853019
