,,0
1963-09-30,r_betaarb,-0.10773007186357161
1963-09-30,r_season,0.12938497793286308
1963-09-30,r_indrrev,-0.1861237334643407
1963-09-30,r_indrrevlv,-0.36028645874765725
1963-09-30,r_ciss,-0.05187088413165508
1963-09-30,r_price,-0.07050309368709853
1963-09-30,r_age,-0.051812438516006025
1963-09-30,r_shvol,-0.12921610902555022
1963-09-30,r_ipo,0.0
1963-10-31,r_size,0.058744472962028345
1963-10-31,r_value,0.084312364247586
1963-10-31,r_prof,0.21411750495789603
1963-10-31,r_dur,0.04848227056912576
1963-10-31,r_valprof,0.2554513374263959
1963-10-31,r_fscore,0.21870380890563992
1963-10-31,r_debtiss,0.0
1963-10-31,r_repurch,0.0
1963-10-31,r_nissa,0.10777939844986056
1963-10-31,r_accruals,-0.22631219473591074
1963-10-31,r_growth,0.08686108632415257
1963-10-31,r_aturnover,0.23378520387677917
1963-10-31,r_gmargins,-0.14361944455212114
1963-10-31,r_divp,-0.05462598513153057
1963-10-31,r_ep,0.00335194158684579
1963-10-31,r_cfp,0.03755562686744573
1963-10-31,r_noa,-0.11114798281740591
1963-10-31,r_inv,-0.024396927521479497
1963-10-31,r_invcap,0.07578916002316886
1963-10-31,r_igrowth,0.1425429962584939
1963-10-31,r_sgrowth,0.20839827197177407
1963-10-31,r_lev,-0.0008047849413408777
1963-10-31,r_roaa,-0.0007218271758412676
1963-10-31,r_roea,-0.11210640120386649
1963-10-31,r_sp,0.21366716702263827
1963-10-31,r_gltnoa,0.0
1963-10-31,r_divg,-0.12588085801822563
1963-10-31,r_invaci,0.0
1963-10-31,r_shortint,0.0
1963-10-31,r_lrrev,-0.029570839797611843
1963-10-31,r_valuem,0.07430876658074238
1963-10-31,r_nissm,-0.0145052071989904
1963-10-31,r_sue,0.0
1963-10-31,r_roe,0.0
1963-10-31,r_rome,0.0
1963-10-31,r_roa,0.0
1963-10-31,r_strev,-0.10647580749542787
1963-10-31,r_ivol,0.06968539730198663
1963-10-31,r_betaarb,0.13014855789847576
1963-10-31,r_season,-0.0034044116554172816
1963-10-31,r_indrrev,-0.06225782007574046
1963-10-31,r_indrrevlv,-0.11119363585046763
1963-10-31,r_ciss,-0.015183179303183835
1963-10-31,r_price,0.07155427274010585
1963-10-31,r_age,0.23687726593063166
1963-10-31,r_shvol,0.13188964643275902
1963-10-31,r_ipo,0.0
1963-11-30,r_size,0.1932934428950099
1963-11-30,r_value,0.12139530000603123
1963-11-30,r_prof,0.008538163880098558
1963-11-30,r_dur,-0.1411314948239771
1963-11-30,r_valprof,0.023582892043766422
1963-11-30,r_fscore,0.022609543161029193
1963-11-30,r_debtiss,0.0
1963-11-30,r_repurch,0.0
1963-11-30,r_nissa,-0.03667080810957657
1963-11-30,r_accruals,-0.11882158867701685
1963-11-30,r_growth,-0.0035163923141700187
1963-11-30,r_aturnover,0.21555528774874638
1963-11-30,r_gmargins,-0.44402099306871595
1963-11-30,r_divp,-0.045563018682735976
1963-11-30,r_ep,-0.07661009185501098
1963-11-30,r_cfp,0.13317490723398673
1963-11-30,r_noa,0.016640326973747194
1963-11-30,r_inv,0.23468599950256644
1963-11-30,r_invcap,0.13445400483799685
1963-11-30,r_igrowth,-0.04647832502238811
1963-11-30,r_sgrowth,0.0752707730842409
1963-11-30,r_lev,0.09537121574689357
1963-11-30,r_roaa,-0.10853690021193241
1963-11-30,r_roea,-0.23679149275519135
1963-11-30,r_sp,0.25526151524029717
1963-11-30,r_gltnoa,2.088199447788452e-90
1963-11-30,r_divg,-0.19207153992520984
1963-11-30,r_invaci,0.0
1963-11-30,r_shortint,0.0
1963-11-30,r_lrrev,-0.20100142719407488
1963-11-30,r_valuem,0.1171282691258301
1963-11-30,r_nissm,0.041114896158417555
1963-11-30,r_sue,0.0
1963-11-30,r_roe,0.0
1963-11-30,r_rome,0.0
1963-11-30,r_roa,0.0
1963-11-30,r_strev,-0.04038363779326691
1963-11-30,r_ivol,0.1564230047080897
1963-11-30,r_betaarb,0.27573278029708337
1963-11-30,r_season,0.27664965548973625
1963-11-30,r_indrrev,-0.13050292433940436
1963-11-30,r_indrrevlv,-0.19158546119323774
1963-11-30,r_ciss,0.12412099581229614
1963-11-30,r_price,-0.007635063621185413
1963-11-30,r_age,0.1746903182329923
1963-11-30,r_shvol,0.28372300555508223
1963-11-30,r_ipo,0.0
1963-12-31,r_size,0.13608239675617237
1963-12-31,r_value,0.0035679793143831877
1963-12-31,r_prof,-0.05901151656160805
1963-12-31,r_dur,-0.0023303359233830764
1963-12-31,r_valprof,-0.03490675174037767
1963-12-31,r_fscore,-0.005949529432222259
1963-12-31,r_debtiss,0.0
1963-12-31,r_repurch,0.0
1963-12-31,r_nissa,0.0212982972405624
1963-12-31,r_accruals,-0.04696560226994161
1963-12-31,r_growth,-0.05518424945094997
1963-12-31,r_aturnover,-0.2670477493093608
1963-12-31,r_gmargins,0.27307694572352276
1963-12-31,r_divp,-0.057900481005720476
1963-12-31,r_ep,-0.09053154574644556
1963-12-31,r_cfp,-0.026485503593884782
1963-12-31,r_noa,0.19780621511015975
1963-12-31,r_inv,-0.008898258839838101
1963-12-31,r_invcap,-0.07589019131837228
1963-12-31,r_igrowth,-0.13561641741302927
1963-12-31,r_sgrowth,-0.0010168076567711056
1963-12-31,r_lev,-0.05800956506819616
1963-12-31,r_roaa,0.0019741929665594835
1963-12-31,r_roea,-0.06777130551164551
1963-12-31,r_sp,-0.19309764244633795
1963-12-31,r_gltnoa,9.413147760015897e-80
1963-12-31,r_divg,-0.006763044460493276
1963-12-31,r_invaci,0.0
1963-12-31,r_shortint,0.0
1963-12-31,r_lrrev,0.01447566878632963
1963-12-31,r_valuem,0.0001357638980002533
1963-12-31,r_nissm,-0.06512764270934977
1963-12-31,r_sue,0.0
1963-12-31,r_roe,0.0
1963-12-31,r_rome,0.0
1963-12-31,r_roa,0.0
1963-12-31,r_strev,-0.06640038036720197
1963-12-31,r_ivol,-0.03931743828945365
1963-12-31,r_betaarb,-0.0346292703106354
1963-12-31,r_season,0.13481127341726193
1963-12-31,r_indrrev,-0.06160478899912363
1963-12-31,r_indrrevlv,0.019038007190094058
1963-12-31,r_ciss,-0.02432340689319542
1963-12-31,r_price,-0.0004378417133815149
1963-12-31,r_age,0.07135321193117607
1963-12-31,r_shvol,-0.05920490398460238
1963-12-31,r_ipo,0.0
1964-01-31,r_size,-0.024974965165233773
1964-01-31,r_value,0.16986413728403474
1964-01-31,r_prof,-0.08885451031372506
1964-01-31,r_dur,-0.1462676835828905
1964-01-31,r_valprof,0.09930755248580031
1964-01-31,r_fscore,0.15548602971856232
1964-01-31,r_debtiss,0.0
1964-01-31,r_repurch,0.0
1964-01-31,r_nissa,-0.11355878706416149
1964-01-31,r_accruals,-0.2624367045333395
1964-01-31,r_growth,-0.16497156127993992
1964-01-31,r_aturnover,-0.08699293323876219
1964-01-31,r_gmargins,-0.01667878219464303
1964-01-31,r_divp,-0.004526941409730947
1964-01-31,r_ep,0.11274327929570659
1964-01-31,r_cfp,0.17380216269357918
1964-01-31,r_noa,0.017865469435786815
1964-01-31,r_inv,-0.05739787655357056
1964-01-31,r_invcap,-0.17836456171413484
1964-01-31,r_igrowth,0.027131371446344338
1964-01-31,r_sgrowth,0.01182262592696018
1964-01-31,r_lev,0.10486866113582104
1964-01-31,r_roaa,-0.018694816572160013
1964-01-31,r_roea,-0.19567931434323713
1964-01-31,r_sp,0.04244709759960201
1964-01-31,r_gltnoa,2.4985863271181234e-77
1964-01-31,r_divg,-0.12451031391644844
1964-01-31,r_invaci,0.0
1964-01-31,r_shortint,0.0
1964-01-31,r_lrrev,-0.16680276218075576
1964-01-31,r_valuem,0.09829364231392948
1964-01-31,r_nissm,-0.14059148258305884
1964-01-31,r_sue,0.0
1964-01-31,r_roe,0.0
1964-01-31,r_rome,0.0
1964-01-31,r_roa,0.0
1964-01-31,r_strev,-0.06869375078642745
1964-01-31,r_ivol,-0.03694639148737447
1964-01-31,r_betaarb,0.006002410638136905
1964-01-31,r_season,0.13242282945122574
1964-01-31,r_indrrev,-0.1252841373243579
1964-01-31,r_indrrevlv,-0.26913239650599224
1964-01-31,r_ciss,0.008177780104479993
1964-01-31,r_price,-0.05977123092868207
1964-01-31,r_age,0.20357943686035915
1964-01-31,r_shvol,0.010580114544857983
1964-01-31,r_ipo,0.0
1964-02-29,r_size,-0.07843563689174166
1964-02-29,r_value,0.24671311675923913
1964-02-29,r_prof,-0.07017558317330518
1964-02-29,r_dur,-0.24251722955126617
1964-02-29,r_valprof,0.23956199753671945
1964-02-29,r_fscore,0.04632614145243337
1964-02-29,r_debtiss,0.0
1964-02-29,r_repurch,0.0
1964-02-29,r_nissa,-0.18482938370933844
1964-02-29,r_accruals,-0.13146144870580884
1964-02-29,r_growth,-0.08678038154415811
1964-02-29,r_aturnover,0.08410810474599381
1964-02-29,r_gmargins,-0.31768950158377046
1964-02-29,r_divp,0.1960681097614682
1964-02-29,r_ep,0.17813515064555022
1964-02-29,r_cfp,0.24625195185605625
1964-02-29,r_noa,-0.13012408852729326
1964-02-29,r_inv,-0.021815626790317684
1964-02-29,r_invcap,-0.1297117413587431
1964-02-29,r_igrowth,0.04234988038723084
1964-02-29,r_sgrowth,-0.024532708448040015
1964-02-29,r_lev,0.15450033169047767
1964-02-29,r_roaa,-0.07818720104012225
1964-02-29,r_roea,-0.22130697075352343
1964-02-29,r_sp,0.25393735378010546
1964-02-29,r_gltnoa,1.118327493654589e-55
1964-02-29,r_divg,-0.33401623297880517
1964-02-29,r_invaci,0.0
1964-02-29,r_shortint,0.0
1964-02-29,r_lrrev,-0.26711107126909356
1964-02-29,r_valuem,0.19381135566014207
1964-02-29,r_nissm,0.017342384226583886
1964-02-29,r_sue,0.0
1964-02-29,r_roe,0.0
1964-02-29,r_rome,0.0
1964-02-29,r_roa,0.0
1964-02-29,r_strev,0.11293259099119304
1964-02-29,r_ivol,0.07810051992256749
1964-02-29,r_betaarb,0.0949574383880465
1964-02-29,r_season,-0.11160202905881475
1964-02-29,r_indrrev,0.1683666488091177
1964-02-29,r_indrrevlv,-0.07032581230345297
1964-02-29,r_ciss,-0.06644993706557165
1964-02-29,r_price,-0.029887320268909688
1964-02-29,r_age,0.2119812714421983
1964-02-29,r_shvol,0.12012308861433722
1964-02-29,r_ipo,0.0
1964-03-31,r_size,-0.20269216984889332
1964-03-31,r_value,0.5696014859135955
1964-03-31,r_prof,-0.10797468361526957
1964-03-31,r_dur,-0.44504006840262955
1964-03-31,r_valprof,0.47662968016597546
1964-03-31,r_fscore,0.07479879568925162
1964-03-31,r_debtiss,0.0
1964-03-31,r_repurch,0.0
1964-03-31,r_nissa,-0.2297814192109204
1964-03-31,r_accruals,-0.5788218919628508
1964-03-31,r_growth,-0.4152002908277239
1964-03-31,r_aturnover,0.03705647503977725
1964-03-31,r_gmargins,-0.5422860075001236
1964-03-31,r_divp,0.3997452823749701
1964-03-31,r_ep,0.3755265690732641
1964-03-31,r_cfp,0.4972288918046871
1964-03-31,r_noa,0.08690517723275762
1964-03-31,r_inv,-0.38923154127402443
1964-03-31,r_invcap,-0.29451391841015345
1964-03-31,r_igrowth,-0.3795564987651204
1964-03-31,r_sgrowth,-0.05363183529771425
1964-03-31,r_lev,0.34760411318005124
1964-03-31,r_roaa,-0.2649165160915585
1964-03-31,r_roea,-0.6222915806971535
1964-03-31,r_sp,0.4648396510385219
1964-03-31,r_gltnoa,2.4243829773233676e-41
1964-03-31,r_divg,-0.4118615626588719
1964-03-31,r_invaci,0.0
1964-03-31,r_shortint,0.0
1964-03-31,r_lrrev,-0.3999944985738633
1964-03-31,r_valuem,0.46087680719542434
1964-03-31,r_nissm,-0.08385807759822103
1964-03-31,r_sue,0.0
1964-03-31,r_roe,0.0
1964-03-31,r_rome,0.0
1964-03-31,r_roa,0.0
1964-03-31,r_strev,0.13498742520805598
1964-03-31,r_ivol,0.0045243397861033825
1964-03-31,r_betaarb,0.06859868628719638
1964-03-31,r_season,-0.24096889143865496
1964-03-31,r_indrrev,0.07957752128561495
1964-03-31,r_indrrevlv,-0.01920700954765608
1964-03-31,r_ciss,0.03230561737305031
1964-03-31,r_price,-0.13221736978699836
1964-03-31,r_age,0.16455413011506026
1964-03-31,r_shvol,0.07911765110036882
1964-03-31,r_ipo,0.0
1964-04-30,r_size,0.13986377844691472
1964-04-30,r_value,0.010274488131070644
1964-04-30,r_prof,-0.05335969608744655
1964-04-30,r_dur,0.05070506843085547
1964-04-30,r_valprof,-0.060560866163805786
1964-04-30,r_fscore,0.007922966537352626
1964-04-30,r_debtiss,0.0
1964-04-30,r_repurch,0.0
1964-04-30,r_nissa,-0.007198704191152775
1964-04-30,r_accruals,0.272051671429525
1964-04-30,r_growth,0.2568883584229047
1964-04-30,r_aturnover,-0.15539479583540677
1964-04-30,r_gmargins,0.19893701904219013
1964-04-30,r_divp,0.1639594580120115
1964-04-30,r_ep,0.06333065368627677
1964-04-30,r_cfp,-0.05936783440181726
1964-04-30,r_noa,0.41419099627364436
1964-04-30,r_inv,0.38998113772226867
1964-04-30,r_invcap,0.05631818428885979
1964-04-30,r_igrowth,0.3810973816726543
1964-04-30,r_sgrowth,-0.19011920372563712
1964-04-30,r_lev,-0.06615576277212423
1964-04-30,r_roaa,0.1448817874564635
1964-04-30,r_roea,-0.010485550424761608
1964-04-30,r_sp,-0.19220674790269776
1964-04-30,r_gltnoa,0.0
1964-04-30,r_divg,-0.1758312356454719
1964-04-30,r_invaci,0.0
1964-04-30,r_shortint,0.0
1964-04-30,r_lrrev,0.07576214550193174
1964-04-30,r_valuem,0.025680398439410744
1964-04-30,r_nissm,-0.14102941832364865
1964-04-30,r_sue,0.0
1964-04-30,r_roe,0.0
1964-04-30,r_rome,0.0
1964-04-30,r_roa,0.0
1964-04-30,r_strev,-0.225949991418885
1964-04-30,r_ivol,-0.1687408854345433
1964-04-30,r_betaarb,-0.174602822726126
1964-04-30,r_season,0.014961781214904142
1964-04-30,r_indrrev,-0.28049044427088127
1964-04-30,r_indrrevlv,-0.3841437149952591
1964-04-30,r_ciss,0.020895036413802928
1964-04-30,r_price,-0.069745820543962
1964-04-30,r_age,0.11550183870190649
1964-04-30,r_shvol,-0.23652465554792726
1964-04-30,r_ipo,0.0
1964-05-31,r_size,-0.13161472929615317
1964-05-31,r_value,0.031186308894423954
1964-05-31,r_prof,0.0332647620883003
